SO63119,1,2022-01-01,Julian Henderson,julian6@adventure-works.com,Hitch Rack - 4-Bike,1,120.0,9.6
SO63119,2,2022-01-01,Julian Henderson,julian6@adventure-works.com,HL Road Tire,1,32.6,2.608
SO63119,3,2022-01-01,Julian Henderson,julian6@adventure-works.com,"Road-550-W Yellow, 38",1,1120.49,89.6392
SO63119,4,2022-01-01,Julian Henderson,julian6@adventure-works.com,"Road-650 Red, 58",1,782.99,62.6392
SO63119,5,2022-01-01,Julian Henderson,julian6@adventure-works.com,"Road-550-W Yellow, 42",1,1120.49,89.6392
SO63120,1,2022-01-02,Kathleen Torres,kathleen14@adventure-works.com,"Road-650 Red, 48",1,782.99,62.6392
SO63120,2,2022-01-02,Kathleen Torres,kathleen14@adventure-works.com,"Touring-1000 Yellow, 60",1,2384.07,190.7256
SO63120,3,2022-01-02,Kathleen Torres,kathleen14@adventure-works.com,"Classic Vest, M",1,63.5,5.08
SO63120,4,2022-01-02,Kathleen Torres,kathleen14@adventure-works.com,"Mountain-500 Silver, 40",1,564.99,45.1992
SO63120,5,2022-01-02,Kathleen Torres,kathleen14@adventure-works.com,"Touring-3000 Blue, 50",1,742.35,59.388
SO63121,1,2022-01-03,Gabriella Sanchez,gabriella25@adventure-works.com,"Mountain-400-W Silver, 38",1,769.49,61.5592
SO63121,2,2022-01-03,Gabriella Sanchez,gabriella25@adventure-works.com,"Road-650 Red, 48",1,782.99,62.6392
SO63121,3,2022-01-03,Gabriella Sanchez,gabriella25@adventure-works.com,Patch Kit/8 Patches,1,2.29,0.1832
SO63121,4,2022-01-03,Gabriella Sanchez,gabriella25@adventure-works.com,AWC Logo Cap,1,8.99,0.7192
SO63121,5,2022-01-03,Gabriella Sanchez,gabriella25@adventure-works.com,"Mountain-500 Silver, 44",1,564.99,45.1992
SO63122,1,2022-01-04,Gerald Martin,gerald8@adventure-works.com,"Touring-1000 Yellow, 54",1,2384.07,190.7256
SO63123,1,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,"Half-Finger Gloves, L",1,24.49,1.9592
SO63123,2,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,Fender Set - Mountain,1,21.98,1.7584
SO63123,3,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,"Women's Mountain Shorts, M",1,69.99,5.5992
SO63123,4,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,"Long-Sleeve Logo Jersey, S",1,49.99,3.9992
SO63123,5,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,"Road-350-W Yellow, 44",1,1700.99,136.0792
SO63123,6,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,"Road-250 Black, 48",1,2443.35,195.468
SO63123,7,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,"Mountain-400-W Silver, 40",1,769.49,61.5592
SO63123,8,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,LL Road Tire,1,21.49,1.7192
SO63123,9,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,Water Bottle - 30 oz.,1,4.99,0.3992
SO63123,10,2022-01-05,Samantha Barnes,samantha28@adventure-works.com,"Women's Mountain Shorts, L",1,69.99,5.5992
SO63124,1,2022-01-06,Trisha Zhou,trisha3@adventure-works.com,Touring Tire Tube,1,4.99,0.3992
