SO69269,1,2023-01-01,Brittney Zhu,brittney13@adventure-works.com,"Classic Vest, L",1,63.5,5.08
SO69269,2,2023-01-01,Brittney Zhu,brittney13@adventure-works.com,"Road-550-W Yellow, 38",1,1120.49,89.6392
SO69269,3,2023-01-01,Brittney Zhu,brittney13@adventure-works.com,"Touring-1000 Yellow, 50",1,2384.07,190.7256
SO69269,4,2023-01-01,Brittney Zhu,brittney13@adventure-works.com,"Road-650 Red, 62",1,782.99,62.6392
SO69269,5,2023-01-01,Brittney Zhu,brittney13@adventure-works.com,"Short-Sleeve Classic Jersey, XL",1,53.99,4.3192
SO69269,6,2023-01-01,Brittney Zhu,brittney13@adventure-works.com,"Women's Mountain Shorts, S",1,69.99,5.5992
SO69269,7,2023-01-01,Brittney Zhu,brittney13@adventure-works.com,"Touring-1000 Yellow, 54",1,2384.07,190.7256
SO69269,8,2023-01-01,Brittney Zhu,brittney13@adventure-works.com,"Touring-3000 Blue, 54",1,742.35,59.388
SO69270,1,2023-01-01,Suzanne He,suzanne20@adventure-works.com,"Touring-3000 Yellow, 58",1,742.35,59.388
SO69270,2,2023-01-01,Suzanne He,suzanne20@adventure-works.com,"Road-650 Red, 48",1,782.99,62.6392
SO69270,3,2023-01-01,Suzanne He,suzanne20@adventure-works.com,"Mountain-200 Black, 46",1,2294.99,183.5992
SO69270,4,2023-01-01,Suzanne He,suzanne20@adventure-works.com,"Road-650 Black, 52",1,782.99,62.6392
SO69270,5,2023-01-01,Suzanne He,suzanne20@adventure-works.com,AWC Logo Cap,1,8.99,0.7192
SO69270,6,2023-01-01,Suzanne He,suzanne20@adventure-works.com,ML Road Tire,1,24.99,1.9992
SO69270,7,2023-01-01,Suzanne He,suzanne20@adventure-works.com,"Mountain-500 Black, 40",1,539.99,43.1992
SO69271,1,2023-01-01,Troy Garcia,troy16@adventure-works.com,Road Tire Tube,1,3.99,0.3192
SO69271,2,2023-01-01,Troy Garcia,troy16@adventure-works.com,"Touring-1000 Blue, 46",1,2384.07,190.7256
SO69271,3,2023-01-01,Troy Garcia,troy16@adventure-works.com,"Road-650 Red, 44",1,782.99,62.6392
SO69271,4,2023-01-01,Troy Garcia,troy16@adventure-works.com,"Road-350-W Yellow, 48",1,1700.99,136.0792
SO69271,5,2023-01-01,Troy Garcia,troy16@adventure-works.com,"Road-650 Black, 48",1,782.99,62.6392
SO69271,6,2023-01-01,Troy Garcia,troy16@adventure-works.com,"Road-750 Black, 58",1,539.99,43.1992
SO69272,1,2023-01-01,Nicole Bryant,nicole67@adventure-works.com,"Classic Vest, M",1,63.5,5.08
SO69272,2,2023-01-01,Nicole Bryant,nicole67@adventure-works.com,"Touring-2000 Blue, 50",1,1214.85,97.188
